threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,true_negative,false_positive,false_negative,true_positive,model_id,feature_set,class_weight,feature_count
0.69,0.6224758560140474,0.6257909008737571,0.8129158512720157,0.7071842015662241,0.5879960538405549,0.2145078018241074,759,1242,478,2077,ann_raw_99_none,raw_99,none,99
0.7,0.6226953467954346,0.6261315630657815,0.812133072407045,0.7071051286420174,0.5885201868927016,0.21503553082533092,762,1239,480,2075,ann_raw_99_none,raw_99,none,99
0.71,0.6237928007023705,0.6270776669688728,0.812133072407045,0.7077080491132333,0.589999344753661,0.21754744732418488,767,1234,480,2075,ann_raw_99_none,raw_99,none,99
0.72,0.6237928007023705,0.6274628675356169,0.8101761252446184,0.7072087461564742,0.5905595603096674,0.21761012205087663,772,1229,485,2070,ann_raw_99_none,raw_99,none,99
0.73,0.6240122914837577,0.6279635258358662,0.8086105675146771,0.706928999144568,0.5912973737687945,0.21816552041820048,777,1224,489,2066,ann_raw_99_none,raw_99,none,99
0.74,0.6248902546093064,0.6290420988407566,0.8070450097847358,0.7070118292473856,0.5929081714092982,0.2202230873516356,785,1216,493,2062,ann_raw_99_none,raw_99,none,99
0.75,0.6246707638279192,0.6294027565084227,0.8043052837573386,0.7061855670103093,0.59337224887575,0.21983226085322322,791,1210,500,2055,ann_raw_99_none,raw_99,none,99
0.76,0.625548726953468,0.6303346638010439,0.8035225048923679,0.7064693737095664,0.5947498383699348,0.22185895444530696,797,1204,502,2053,ann_raw_99_none,raw_99,none,99
0.77,0.6270851624231782,0.6321803582458307,0.801174168297456,0.7067150008631107,0.597406912905192,0.2254397889728281,810,1191,508,2047,ann_raw_99_none,raw_99,none,99
0.78,0.6288410886742757,0.6341614906832298,0.7992172211350294,0.7071861471861471,0.6002217820138107,0.22949002329644297,823,1178,513,2042,ann_raw_99_none,raw_99,none,99
0.79,0.6288410886742757,0.6347473487211478,0.7964774951076321,0.7064745703870856,0.600924542728607,0.22961930003470485,830,1171,520,2035,ann_raw_99_none,raw_99,none,99
0.8,0.6308165057067603,0.6367909746161078,0.7953033268101761,0.707274625826662,0.6037858571795223,0.23411531838945135,842,1159,523,2032,ann_raw_99_none,raw_99,none,99
0.3,0.6321334503950834,0.6313116223483717,0.8270058708414872,0.7160284649271433,0.596955042432419,0.23639953652341553,767,1234,442,2113,ann_raw_99_balanced,raw_99,balanced,99
0.31,0.6323529411764706,0.6315002988643156,0.8270058708414872,0.7161498051177766,0.5972527287812489,0.2368987250042716,768,1233,442,2113,ann_raw_99_balanced,raw_99,balanced,99
0.32,0.6330114135206322,0.6322252171308775,0.8262230919765167,0.7163216830675263,0.5983721529072871,0.2383886721457892,773,1228,444,2111,ann_raw_99_balanced,raw_99,balanced,99
0.33,0.6336698858647937,0.6328734253149371,0.8258317025440313,0.7165902530140941,0.5993748658803018,0.23987965998675978,777,1224,445,2110,ann_raw_99_balanced,raw_99,balanced,99
0.34,0.6345478489903424,0.6337139423076923,0.825440313111546,0.7169811320754716,0.6006708075985906,0.2418655697735383,782,1219,446,2109,ann_raw_99_balanced,raw_99,balanced,99
0.35,0.6360842844600527,0.6350496838301717,0.825440313111546,0.7178352620830497,0.6027371613258264,0.24533891983563313,789,1212,446,2109,ann_raw_99_balanced,raw_99,balanced,99
0.36,0.6367427568042142,0.6357056694813028,0.8250489236790607,0.7181059444728326,0.603730540888067,0.24682090223452777,793,1208,447,2108,ann_raw_99_balanced,raw_99,balanced,99
0.37,0.6369622475856014,0.6358974358974359,0.8250489236790607,0.7182282793867121,0.6040246887371562,0.2473157621427284,794,1207,447,2108,ann_raw_99_balanced,raw_99,balanced,99
0.38,0.637620719929763,0.6364734299516909,0.8250489236790607,0.7185955343446395,0.6049063958317958,0.24879930235025466,797,1204,447,2108,ann_raw_99_balanced,raw_99,balanced,99
0.39,0.6382791922739245,0.6370504684194621,0.8250489236790607,0.7189631650750341,0.6057870012567289,0.2502812943428613,800,1201,447,2108,ann_raw_99_balanced,raw_99,balanced,99
0.4,0.6395961369622476,0.6385432473444613,0.8234833659491194,0.7193162393162393,0.6079720374999344,0.25322317372844133,810,1191,451,2104,ann_raw_99_balanced,raw_99,balanced,99
