threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,n_test,model_id,algorithm,algorithm_family,feature_set,class_weight,threshold_source,feature_count,train_seconds,predict_seconds
0.56,0.5866988586479368,0.5757097791798107,1.0,0.7307307307307307,0.4210520100090652,0.18425499184716418,0.5738641442488148,0.6043534563462026,118,1883,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.57,0.5882352941176471,0.5766192733017378,1.0,0.7314629258517034,0.4245273236972534,0.18979118587079194,0.5738641442488148,0.6043534563462026,125,1876,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.58,0.5891132572431957,0.577140275581658,1.0,0.7318819822400459,0.42650437140171304,0.19289101664635785,0.5738641442488148,0.6043534563462026,129,1872,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.59,0.5897717295873574,0.5775316455696202,1.0,0.7321965897693079,0.42798296436426014,0.19518719114686045,0.5738641442488148,0.6043534563462026,132,1869,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.6,0.5899912203687445,0.5776622202125254,1.0,0.7323015190599026,0.42847503319443114,0.19594728876446815,0.5738641442488148,0.6043534563462026,133,1868,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.61,0.5899912203687445,0.5776622202125254,1.0,0.7323015190599026,0.42847503319443114,0.19594728876446815,0.5738641442488148,0.6043534563462026,133,1868,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.62,0.5910886742756805,0.5783159800814849,1.0,0.7328266169510971,0.4309294375078066,0.19970944067638569,0.5738641442488148,0.6043534563462026,138,1863,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.63,0.5915276558384548,0.5785778985507246,1.0,0.7330368670205135,0.43190843818097135,0.20119695025560067,0.5738641442488148,0.6043534563462026,140,1861,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.64,0.5919666374012291,0.5788400543724513,1.0,0.733247237767255,0.43288586806701523,0.20267487586721286,0.5738641442488148,0.6043534563462026,142,1859,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.65,0.5932835820895522,0.5796279491833031,1.0,0.7338790751113026,0.43580877906332927,0.2070532122986814,0.5738641442488148,0.6043534563462026,148,1853,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.66,0.5932835820895522,0.5796279491833031,1.0,0.7338790751113026,0.43580877906332927,0.2070532122986814,0.5738641442488148,0.6043534563462026,148,1853,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.67,0.5939420544337137,0.5800227014755959,1.0,0.7341954022988506,0.4372649873947785,0.20921240175210468,0.5738641442488148,0.6043534563462026,151,1850,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.68,0.5956979806848113,0.5810780077325449,1.0,0.7350402761795167,0.4411312492008695,0.214878140598535,0.5738641442488148,0.6043534563462026,159,1842,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.69,0.5963564530289728,0.581474738279472,1.0,0.7353576054108505,0.44257478051402444,0.2169698500776453,0.5738641442488148,0.6043534563462026,162,1839,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.7,0.597892888498683,0.5824025529974926,1.0,0.7360991068856237,0.4459297377746091,0.22178462867730342,0.5738641442488148,0.6043534563462026,169,1832,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.71,0.5992098331870062,0.5832001826067108,1.0,0.7367358708189158,0.44879072952710497,0.22584178913838462,0.5738641442488148,0.6043534563462026,175,1826,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.72,0.6003072870939421,0.5838665447897623,1.0,0.7372673495888039,0.45116462390031664,0.22917619459052702,0.5738641442488148,0.6043534563462026,180,1821,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.73,0.6011852502194908,0.5844007319304666,1.0,0.7376930850295943,0.4530570688305866,0.23181457749337878,0.5738641442488148,0.6043534563462026,184,1817,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.74,0.6022827041264267,0.5850698419967941,1.0,0.7382259462583068,0.4554143429921671,0.23507758152156924,0.5738641442488148,0.6043534563462026,189,1812,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.75,0.6049165935030729,0.5866819747416763,1.0,0.7395079594790159,0.46103463369046166,0.24275928906084276,0.5738641442488148,0.6043534563462026,201,1800,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.76,0.6060140474100087,0.5873563218390805,1.0,0.7400434467776973,0.4633610981056588,0.24590133675057038,0.5738641442488148,0.6043534563462026,206,1795,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.77,0.6071115013169447,0.5880322209436134,1.0,0.7405797101449275,0.4656786434992269,0.24901083532950022,0.5738641442488148,0.6043534563462026,211,1790,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.78,0.6093064091308165,0.5893886966551326,1.0,0.7416545718432511,0.470287231916225,0.2551370289249051,0.5738641442488148,0.6043534563462026,221,1780,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.79,0.6101843722563652,0.5899330408681598,1.0,0.742085390647691,0.47212086243974843,0.2575544601588063,0.5738641442488148,0.6043534563462026,225,1776,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.8,0.6128182616330115,0.5915721231766613,1.0,0.7433808553971487,0.47758855102297115,0.26470032766262686,0.5738641442488148,0.6043534563462026,237,1764,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.81,0.615891132572432,0.5934959349593496,1.0,0.7448979591836735,0.4839054627179469,0.2728488896424334,0.5738641442488148,0.6043534563462026,251,1750,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.82,0.6174275680421423,0.5944625407166124,1.0,0.745658835546476,0.48703924513047575,0.2768525674080029,0.5738641442488148,0.6043534563462026,258,1743,0,2555,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.83,0.6178665496049166,0.5947834187238007,0.9996086105675147,0.7458023069061177,0.4882347813805887,0.2772206795079922,0.5738641442488148,0.6043534563462026,261,1740,1,2554,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.84,0.6189640035118525,0.5955213435969209,0.9992172211350293,0.7462730195849167,0.49075765516690767,0.2793026271996909,0.5738641442488148,0.6043534563462026,267,1734,2,2553,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
0.85,0.6211589113257243,0.5969590643274854,0.998825831702544,0.7472913616398243,0.495468643133672,0.2841904345220719,0.5738641442488148,0.6043534563462026,278,1723,3,2552,4556,mlp_sklearn_none__raw_99,mlp_sklearn,MLPClassifier,raw_99,none,external_threshold_sweep,99,1.4273,0.0056
