threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set,feature_count,train_seconds,predict_seconds
0.5,0.6330114135206322,0.8001359619306594,0.46066536203522507,0.5846994535519126,0.6279769387303409,0.33300698421854175,0.6302561048243002,0.7623737518112679,1707,294,1378,1177,mlp_sklearn_none__normalized_99,mlp_sklearn,none,normalized_99,99,4.65,0.007
0.5,0.6051360842844601,0.7174913693901036,0.48806262230919767,0.5809457255998136,0.6038158800233971,0.24795170937568847,0.6621635366269898,0.740285799931901,1510,491,1308,1247,svm_rbf_balanced__ergonomic_v2,svm_rbf,balanced,ergonomic_v2,27,4.192,0.384
0.5,0.5327041264266901,0.5865853658536585,0.5647749510763209,0.5754735792622133,0.5279125279762372,0.0562895368525194,0.6241762680303684,0.7005144810276687,984,1017,1112,1443,mlp_sklearn_none__ergonomic_v2_with_view,mlp_sklearn,none,ergonomic_v2_with_view,31,2.95,0.004
0.5,0.6009657594381036,0.7176609568812758,0.4755381604696673,0.5720338983050848,0.5991337254683319,0.24305261655550917,0.6334621339036939,0.7548171023938868,1523,478,1340,1215,mlp_sklearn_none__combined_v2,mlp_sklearn,none,combined_v2,126,6.996,0.008
0.5,0.6011852502194908,0.7269372693726938,0.4626223091976517,0.5654149724946185,0.5984649390966299,0.24937964450127129,0.668186063524011,0.7472311474238182,1557,444,1373,1182,svm_rbf_none__ergonomic_v2,svm_rbf,none,ergonomic_v2,27,4.048,0.372
0.5,0.5924056189640036,0.7092326139088729,0.46301369863013697,0.5602652143026284,0.5902164688817295,0.22729849783852973,0.638011327017509,0.7268018679961595,1516,485,1372,1183,svm_rbf_balanced__ergonomic_v2_with_view,svm_rbf,balanced,ergonomic_v2_with_view,31,4.143,0.371
0.5,0.5974539069359087,0.7243310516490354,0.45557729941291586,0.5593464680442095,0.5944207087695794,0.24324185041522542,0.6322578436808992,0.7244071282457898,1558,443,1391,1164,svm_rbf_none__ergonomic_v2_with_view,svm_rbf,none,ergonomic_v2_with_view,31,4.121,0.348
0.5,0.5643107989464442,0.6710684273709484,0.437573385518591,0.5297322909263208,0.5619424079861619,0.16869749207047818,0.597190250276036,0.6311003201693494,1453,548,1437,1118,mlp_sklearn_none__ergonomic_14,mlp_sklearn,none,ergonomic_14,14,2.866,0.003
0.5,0.5588235294117647,0.6642555756479807,0.43131115459882585,0.5230185097294732,0.5563234647463209,0.15775095188509392,0.5851317980931257,0.6405954055955099,1444,557,1453,1102,mlp_sklearn_none__ergonomic_v2,mlp_sklearn,none,ergonomic_v2,27,3.198,0.004
0.5,0.4438103599648815,0.6909090909090909,0.01487279843444227,0.029118773946360154,0.3196962679328848,0.02898028927623365,0.4070266236744642,0.5099624995770908,1984,17,2517,38,logistic_regression_none__normalized_99,logistic_regression,none,normalized_99,99,0.627,0.006
0.5,0.44073748902546095,0.6129032258064516,0.007436399217221135,0.014694508894044857,0.31212813094104636,0.008689797731403326,0.4019667270083158,0.5032872692411983,1989,12,2536,19,logistic_regression_balanced__normalized_99,logistic_regression,balanced,normalized_99,99,0.601,0.006
