threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set
0.52,0.8213345039508341,0.8313665778454511,0.8547945205479452,0.8429177923581629,0.8178965552121603,0.636215845223587,0.9095224403453851,0.9334511788566117,1558,443,371,2184,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.53,0.8053116769095698,0.8317422434367542,0.8183953033268102,0.8250147958177155,0.8028116274413831,0.6057562418432241,0.9095224403453851,0.9334511788566117,1578,423,464,2091,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.54,0.7980684811237928,0.8357289527720739,0.7964774951076321,0.8156312625250501,0.7962193187928501,0.5935618905630424,0.9095224403453851,0.9334511788566117,1601,400,520,2035,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.55,0.7875329236172081,0.8407041648776299,0.7663405088062623,0.8018018018018018,0.7864259718564355,0.5767669281401603,0.9095224403453851,0.9334511788566117,1630,371,597,1958,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.56,0.7833625987708516,0.8459841129744042,0.7502935420743639,0.7952706907280647,0.7826271887571807,0.5716153241407127,0.9095224403453851,0.9334511788566117,1652,349,638,1917,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.57,0.7816066725197541,0.8597785977859779,0.7295499021526419,0.789328816430235,0.7813128474951357,0.574009166291683,0.9095224403453851,0.9334511788566117,1697,304,691,1864,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.58,0.7794117647058824,0.8686964795432921,0.7146771037181996,0.7841958342280438,0.7793033043194091,0.574182569981832,0.9095224403453851,0.9334511788566117,1725,276,729,1826,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.59,0.7833625987708516,0.8904382470119522,0.6998043052837574,0.7836949375410914,0.7833620873680397,0.5896385170121182,0.9095224403453851,0.9334511788566117,1781,220,767,1788,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.6,0.7864354697102721,0.9027494908350305,0.6939334637964775,0.7846868776277938,0.786421383512351,0.5997651975691419,0.9095224403453851,0.9334511788566117,1810,191,782,1773,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.61,0.7879719051799824,0.9278406031233172,0.6743639921722113,0.7810516772438804,0.7877598811751316,0.6134576475835912,0.9095224403453851,0.9334511788566117,1867,134,832,1723,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.62,0.7833625987708516,0.9399551066217733,0.6555772994129159,0.7724233341019138,0.7828608817106428,0.6123270663409777,0.9095224403453851,0.9334511788566117,1894,107,880,1675,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.63,0.7767778753292361,0.9528857479387515,0.6332681017612525,0.7608746766988008,0.7757861755587028,0.6089542597880908,0.9095224403453851,0.9334511788566117,1921,80,937,1618,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.64,0.7688762071992976,0.9653035935563816,0.6097847358121331,0.7474214439913648,0.7671964594021157,0.603696509993253,0.9095224403453851,0.9334511788566117,1945,56,997,1558,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.65,0.7541703248463565,0.972972972972973,0.5776908023483366,0.724950884086444,0.751364330932111,0.5867765915811418,0.9095224403453851,0.9334511788566117,1960,41,1079,1476,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.66,0.7449517120280948,0.9780370624571036,0.5577299412915852,0.7103688933200398,0.741262878032569,0.5764580155483752,0.9095224403453851,0.9334511788566117,1969,32,1130,1425,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.67,0.7363915715539947,0.9835714285714285,0.5389432485322896,0.6963337547408344,0.7317232085707275,0.5673707611745705,0.9095224403453851,0.9334511788566117,1978,23,1178,1377,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.68,0.7251975417032485,0.9851079672375279,0.5178082191780822,0.6788096459722934,0.7193434497602165,0.5527511150735486,0.9095224403453851,0.9334511788566117,1981,20,1232,1323,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.69,0.7107111501316945,0.9889328063241106,0.48962818003913894,0.6549738219895288,0.7029593221814613,0.534842138685689,0.9095224403453851,0.9334511788566117,1987,14,1304,1251,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.7,0.7025899912203687,0.9942339373970346,0.47240704500978475,0.640488193154683,0.6934426741554811,0.5263744591400809,0.9095224403453851,0.9334511788566117,1994,7,1348,1207,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.71,0.6911764705882353,0.9974003466204506,0.45048923679060665,0.6206524669722298,0.6801207920646823,0.512372241021061,0.9095224403453851,0.9334511788566117,1998,3,1404,1151,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.72,0.6769095697980685,0.9981600735970562,0.4246575342465753,0.5958264689730917,0.6633611321099462,0.49330727600654173,0.9095224403453851,0.9334511788566117,1999,2,1470,1085,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.73,0.6628621597892889,0.9990205680705191,0.39921722113502933,0.5704697986577181,0.646506575629437,0.47454421392014684,0.9095224403453851,0.9334511788566117,2000,1,1535,1020,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.74,0.6547410008779632,1.0,0.3843444227005871,0.5552728300819904,0.6365601818571387,0.46388097562608727,0.9095224403453851,0.9334511788566117,2001,0,1573,982,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.75,0.6444249341527656,1.0,0.3659491193737769,0.5358166189111748,0.6238314684737305,0.44969663218231204,0.9095224403453851,0.9334511788566117,2001,0,1620,935,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.76,0.6352063213345039,1.0,0.34951076320939334,0.5179814385150812,0.6122746175626252,0.4369536406521509,0.9095224403453851,0.9334511788566117,2001,0,1662,893,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.77,0.6286215978928885,1.0,0.33776908023483365,0.5049736688121709,0.6039093844587724,0.42780301019201983,0.9095224403453851,0.9334511788566117,2001,0,1692,863,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.78,0.624451273046532,1.0,0.33033268101761254,0.49661665195645777,0.5985621330848279,0.42198336562127275,0.9095224403453851,0.9334511788566117,2001,0,1711,844,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.79,0.6161106233538192,1.0,0.31545988258317026,0.4796191609639988,0.5877490692665586,0.410279652610728,0.9095224403453851,0.9334511788566117,2001,0,1749,806,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.8,0.6053555750658473,1.0,0.2962818003913894,0.4571256038647343,0.5735628019323671,0.39504028422472326,0.9095224403453851,0.9334511788566117,2001,0,1798,757,random_forest_balanced__ergonomic_v2_with_view,random_forest,balanced,ergonomic_v2_with_view
0.3,0.852721685689201,0.8250517598343685,0.9358121330724071,0.8769484687328076,0.8467825153174833,0.7039491130466384,0.9491293492197149,0.9620879770486879,1494,507,164,2391,hist_gradient_boosting_none__ergonomic_v2_with_view,hist_gradient_boosting,none,ergonomic_v2_with_view
0.31,0.8520632133450395,0.825996533795494,0.9326810176125244,0.8761029411764706,0.846275871459695,0.7021323309805299,0.9491293492197149,0.9620879770486879,1499,502,172,2383,hist_gradient_boosting_none__ergonomic_v2_with_view,hist_gradient_boosting,none,ergonomic_v2_with_view
